Residual 	 Iterations
9.13335092284475e-08 	 434
9.887799469559973e-08 	 469
1.0446081465025675e-07 	 371
9.285619373943187e-08 	 386
9.120888751554728e-08 	 242
8.84005384355916e-08 	 235
1.3740772290628963e-07 	 381
9.421308584111624e-08 	 268
9.382985134204729e-08 	 416
8.984398254555429e-08 	 481
1.0436456501921061e-07 	 420
9.390812773872899e-08 	 435
1.260077574335768e-07 	 246
1.1225040824198203e-07 	 496
1.1241310180573055e-07 	 271
9.207716170042854e-08 	 278
8.888192351442033e-08 	 140
8.389004794065295e-08 	 409
9.222911995727907e-08 	 463
9.426769301745459e-08 	 449
9.589840523411933e-08 	 297
9.703671297274052e-08 	 368
9.71017267770533e-08 	 198
